FKL15A,ICD10_Text,Kategori
H01,H01 Other inflammation of eyelid,Penyakit Lainnya
H02,H02 Other disorders of eyelid,Penyakit Lainnya
H04,H04 Disorders of lacrimal system,Penyakit Lainnya
H05,H05 Disorders of orbit,Penyakit Lainnya
H10,H10 Conjunctivitis,Penyakit Lainnya
H11,H11 Other disorders of conjunctiva,Penyakit Lainnya
H15,H15 Disorders of sclera,Penyakit Lainnya
H16,H16 Keratitis,Penyakit Lainnya
H17,H17 Corneal scars and opacities,Penyakit Lainnya
H18,H18 Other disorders of cornea,Penyakit Lainnya
H20,H20 Iridocyclitis,Penyakit Lainnya
H21,H21 Other disorders of iris and ciliary body,Penyakit Lainnya
H25,H25 Senile cataract,Penyakit Lainnya
H26,H26 Other cataract,Penyakit Lainnya
H27,H27 Other disorders of lens,Penyakit Lainnya
H30,H30 Chorioretinal inflammation,Penyakit Lainnya
H31,H31 Other disorders of choroid,Penyakit Lainnya
H33,H33 Retinal detachments and breaks,Penyakit Lainnya
H34,H34 Retinal vascular occlusions,Penyakit Lainnya
H35,H35 Other retinal disorders,Penyakit Lainnya
H40,H40 Glaucoma,Penyakit Lainnya
H43,H43 Disorders of vitreous body,Penyakit Lainnya
H44,H44 Disorders of globe,Penyakit Lainnya
H46,H46 Optic neuritis,Penyakit Lainnya
H47,H47 Other disorders of optic [2nd] nerve and visual pathways,Penyakit Lainnya
H49,H49 Paralytic strabismus,Penyakit Lainnya
H50,H50 Other strabismus,Penyakit Lainnya
H51,H51 Other disorders of binocular movement,Penyakit Lainnya
H52,H52 Disorders of refraction and accommodation,Penyakit Lainnya
H53,H53 Visual disturbances,Penyakit Lainnya
H54,H54 Visual impairment including blindness (binocular or monocular),Penyakit Lainnya
H55,H55 Nystagmus and other irregular eye movements,Penyakit Lainnya
H57,H57 Other disorders of eye and adnexa,Penyakit Lainnya
H59,"H59 Postprocedural disorders of eye and adnexa, not elsewhere classified",Penyakit Lainnya
H60,H60 Otitis externa,Penyakit Lainnya
H61,H61 Other disorders of external ear,Penyakit Lainnya
H65,H65 Nonsuppurative otitis media,Penyakit Lainnya
H66,H66 Suppurative and unspecified otitis media,Penyakit Lainnya
H68,H68 Eustachian salpingitis and obstruction,Penyakit Lainnya
H69,H69 Other disorders of Eustachian tube,Penyakit Lainnya
H70,H70 Mastoiditis and related conditions,Penyakit Lainnya
H71,H71 Cholesteatoma of middle ear,Penyakit Lainnya
H72,H72 Perforation of tympanic membrane,Penyakit Lainnya
H73,H73 Other disorders of tympanic membrane,Penyakit Lainnya
H74,H74 Other disorders of middle ear and mastoid,Penyakit Lainnya
H80,H80 Otosclerosis,Penyakit Lainnya
H81,H81 Disorders of vestibular function,Penyakit Lainnya
H83,H83 Other diseases of inner ear,Penyakit Lainnya
H90,H90 Conductive and sensorineural hearing loss,Penyakit Lainnya
H91,H91 Other hearing loss,Penyakit Lainnya
H92,H92 Otalgia and effusion of ear,Penyakit Lainnya
H93,"H93 Other disorders of ear, not elsewhere classified",Penyakit Lainnya
H95,"H95 Postprocedural disorders of ear and mastoid process, not elsewhere classified",Penyakit Lainnya
I00,I00 Rheumatic fever without mention of heart involvement,Katastropik
I01,I01 Rheumatic fever with heart involvement,Katastropik
I02,I02 Rheumatic chorea,Penyakit Lainnya
I05,I05 Rheumatic mitral valve diseases,Katastropik
I06,I06 Rheumatic aortic valve diseases,Katastropik
I07,I07 Rheumatic tricuspid valve diseases,Katastropik
I08,I08 Multiple valve diseases,Katastropik
I09,I09 Other rheumatic heart diseases,Katastropik
I10,I10 Essential (primary) hypertension,Katastropik
I11,I11 Hypertensive heart disease,Katastropik
I12,I12 Hypertensive renal disease,Katastropik
I13,I13 Hypertensive heart and renal disease,Katastropik
I15,I15 Secondary hypertension,Katastropik
I20,I20 Angina pectoris,Katastropik
I21,I21 Acute myocardial infarction,Katastropik
I22,I22 Subsequent myocardial infarction,Katastropik
I23,I24 Other acute ischaemic heart diseases,Katastropik
I24,I24 Other acute ischaemic heart diseases,Katastropik
I25,I25 Chronic ischaemic heart disease,Katastropik
I26,I26 Pulmonary embolism,Katastropik
I27,I27 Other pulmonary heart diseases,Katastropik
I28,I28 Other diseases of pulmonary vessels,Katastropik
I30,I30 Acute pericarditis,Katastropik
I31,I31 Other diseases of pericardium,Penyakit Lainnya
I33,I33 Acute and subacute endocarditis,Katastropik
I34,I34 Nonrheumatic mitral valve disorders,Katastropik
I35,I35 Nonrheumatic aortic valve disorders,Katastropik
I37,I37 Pulmonary valve disorders,Katastropik
I38,"I38 Endocarditis, valve unspecified",Katastropik
I40,I40 Acute myocarditis,Katastropik
I42,I42 Cardiomyopathy,Katastropik
I44,I44 Atrioventricular and left bundle-branch block,Penyakit Lainnya
I45,I45 Other conduction disorders,Penyakit Lainnya
I46,I46 Cardiac arrest,Katastropik
I47,I47 Paroxysmal tachycardia,Katastropik
I48,I48 Atrial fibrillation and flutter,Katastropik
I49,I49 Other cardiac arrhythmias,Penyakit Lainnya
I50,I50 Heart failure,Katastropik
I51,I51 Complications and ill-defined descriptions of heart disease,Katastropik
I60,I60 Subarachnoid haemorrhage,Katastropik
I61,I61 Intracerebral haemorrhage,Katastropik
I62,I62 Other nontraumatic intracranial haemorrhage,Katastropik
I63,I63 Cerebral infarction,Katastropik
I64,"I64 Stroke, not specified as haemorrhage or infarction",Katastropik
I65,"I65 Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",Katastropik
I66,"I66 Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",Katastropik
I67,I67 Other cerebrovascular diseases,Katastropik
I69,I69 Sequelae of cerebrovascular disease,Katastropik
I70,I70 Atherosclerosis,Katastropik
I71,I71 Aortic aneurysm and dissection,Katastropik
I72,I72 Other aneurysm and dissection,Katastropik
I73,I73 Other peripheral vascular diseases,Penyakit Lainnya
I74,I74 Arterial embolism and thrombosis,Katastropik
I77,I77 Other disorders of arteries and arterioles,Penyakit Lainnya
I78,I78 Diseases of capillaries,Penyakit Lainnya
I80,I80 Phlebitis and thrombophlebitis,Penyakit Lainnya
I81,I81 Portal vein thrombosis,Penyakit Lainnya
I82,I82 Other venous embolism and thrombosis,Penyakit Lainnya
I83,I83 Varicose veins of lower extremities,Penyakit Lainnya
I85,I85 Oesophageal varices,Penyakit Lainnya
I86,I86 Varicose veins of other sites,Penyakit Lainnya
I87,I87 Other disorders of veins,Penyakit Lainnya
I88,I88 Nonspecific lymphadenitis,Penyakit Lainnya
I89,I89 Other noninfective disorders of lymphatic vessels and lymph nodes,Penyakit Lainnya
I95,I95 Hypotension,Penyakit Lainnya
I97,"I97 Postprocedural disorders of circulatory system, not elsewhere classified",Penyakit Lainnya
I98,I98 Other disorders of circulatory system in diseases classified elsewhere,Penyakit Lainnya
I99,I99 Other and unspecified disorders of circulatory system,Penyakit Lainnya
J00,J00 Acute nasopharyngitis [common cold],Penyakit Lainnya
J01,J01 Acute sinusitis,Penyakit Lainnya
J02,J02 Acute pharyngitis,Penyakit Lainnya
J03,J03 Acute tonsillitis,Penyakit Lainnya
J04,J04 Acute laryngitis and tracheitis,Penyakit Lainnya
J05,J05 Acute obstructive laryngitis [croup] and epiglottitis,Penyakit Lainnya
J06,J06 Acute upper respiratory infections of multiple and unspecified sites,Penyakit Lainnya
J10,J10 Influenza due to other identified influenza virus,Penyakit Lainnya
J11,"J11 Influenza, virus not identified",Penyakit Lainnya
J12,"J12 Viral pneumonia, not elsewhere classified",Penyakit Lainnya
J13,J13 Pneumonia due to Streptococcus pneumoniae,Penyakit Lainnya
J14,J14 Pneumonia due to Haemophilus influenzae,Penyakit Lainnya
J15,"J15 Bacterial pneumonia, not elsewhere classified",Penyakit Lainnya
J16,"J16 Pneumonia due to other infectious organisms, not elsewhere classified",Penyakit Lainnya
J18,"J18 Pneumonia, organism unspecified",Penyakit Lainnya
J20,J20 Acute bronchitis,Penyakit Lainnya
J21,J21 Acute bronchiolitis,Penyakit Lainnya
J22,J22 Unspecified acute lower respiratory infection,Penyakit Lainnya
J30,J30 Vasomotor and allergic rhinitis,Penyakit Lainnya
J31,"J31 Chronic rhinitis, nasopharyngitis and pharyngitis",Penyakit Lainnya
J32,J32 Chronic sinusitis,Penyakit Lainnya
J33,J33 Nasal polyp,Penyakit Lainnya
J34,J34 Other disorders of nose and nasal sinuses,Penyakit Lainnya
J35,J35 Chronic diseases of tonsils and adenoids,Penyakit Lainnya
J36,J36 Peritonsillar abscess,Penyakit Lainnya
J37,J37 Chronic laryngitis and laryngotracheitis,Penyakit Lainnya
J38,"J38 Diseases of vocal cords and larynx, not elsewhere classified",Penyakit Lainnya
J39,J39 Other diseases of upper respiratory tract,Penyakit Lainnya
J40,"J40 Bronchitis, not specified as acute or chronic",Penyakit Lainnya
J41,J41 Simple and mucopurulent chronic bronchitis,Penyakit Lainnya
J42,J42 Unspecified chronic bronchitis,Penyakit Lainnya
J43,J43 Emphysema,Penyakit Lainnya
J44,J44 Other chronic obstructive pulmonary disease,Penyakit Lainnya
J45,J45 Asthma,Penyakit Lainnya
J46,J46 Status asthmaticus,Penyakit Lainnya
J47,J47 Bronchiectasis,Penyakit Lainnya
J65,J65 Pneumoconiosis associated with tuberculosis,Penyakit Lainnya
J68,"J68 Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours",Penyakit Lainnya
J69,J69 Pneumonitis due to solids and liquids,Penyakit Lainnya
J70,J70 Respiratory conditions due to other external agents,Penyakit Lainnya
J80,J80 Adult respiratory distress syndrome,Penyakit Lainnya
J81,J81 Pulmonary oedema,Penyakit Lainnya
J84,J84 Other interstitial pulmonary diseases,Penyakit Lainnya
J85,J85 Abscess of lung and mediastinum,Penyakit Lainnya
J86,J86 Pyothorax,Penyakit Lainnya
J90,"J90 Pleural effusion, not elsewhere classified",Penyakit Lainnya
J91,J91 Pleural effusion in conditions classified elsewhere,Penyakit Lainnya
J93,J93 Pneumothorax,Penyakit Lainnya
J94,J94 Other pleural conditions,Penyakit Lainnya
J95,"J95 Postprocedural respiratory disorders, not elsewhere classified",Penyakit Lainnya
J96,"J96 Respiratory failure, not elsewhere classified",Penyakit Lainnya
J98,J98 Other respiratory disorders,Penyakit Lainnya
K00,K00 Disorders of tooth development and eruption,Penyakit Lainnya
K01,K01 Embedded and impacted teeth,Penyakit Lainnya
K02,K02 Dental caries,Penyakit Lainnya
K03,K03 Other diseases of hard tissues of teeth,Penyakit Lainnya
K04,K04 Diseases of pulp and periapical tissues,Penyakit Lainnya
K05,K05 Gingivitis and periodontal diseases,Penyakit Lainnya
K06,K06 Other disorders of gingiva and edentulous alveolar ridge,Penyakit Lainnya
K07,K07 Dentofacial anomalies [including malocclusion],Penyakit Lainnya
K08,K08 Other disorders of teeth and supporting structures,Penyakit Lainnya
K09,"K09 Cysts of oral region, not elsewhere classified",Penyakit Lainnya
K10,K10 Other diseases of jaws,Penyakit Lainnya
K11,K11 Diseases of salivary glands,Penyakit Lainnya
K12,K12 Stomatitis and related lesions,Penyakit Lainnya
K13,K13 Other diseases of lip and oral mucosa,Penyakit Lainnya
K14,K14 Diseases of tongue,Penyakit Lainnya
K20,K20 Oesophagitis,Penyakit Lainnya
K21,K21 Gastro-oesophageal reflux disease,Penyakit Lainnya
K22,K22 Other diseases of oesophagus,Penyakit Lainnya
K25,K25 Gastric ulcer,Penyakit Lainnya
K26,K26 Duodenal ulcer,Penyakit Lainnya
K27,"K27 Peptic ulcer, site unspecified",Penyakit Lainnya
K28,K28 Gastrojejunal ulcer,Penyakit Lainnya
K29,K29 Gastritis and duodenitis,Penyakit Lainnya
K30,K30 Functional dyspepsia,Penyakit Lainnya
K31,K31 Other diseases of stomach and duodenum,Penyakit Lainnya
K35,K35 Acute appendicitis,Penyakit Lainnya
K36,K36 Other appendicitis,Penyakit Lainnya
K37,K37 Unspecified appendicitis,Penyakit Lainnya
K38,K38 Other diseases of appendix,Penyakit Lainnya
K40,K40 Inguinal hernia,Penyakit Lainnya
K41,K41 Femoral hernia,Penyakit Lainnya
K42,K42 Umbilical hernia,Penyakit Lainnya
K43,K43 Ventral hernia,Penyakit Lainnya
K44,K44 Diaphragmatic hernia,Penyakit Lainnya
K45,K45 Other abdominal hernia,Penyakit Lainnya
K46,K46 Unspecified abdominal hernia,Penyakit Lainnya
K50,K50 Crohn disease [regional enteritis],Penyakit Lainnya
K51,K51 Ulcerative colitis,Penyakit Lainnya
K52,K52 Other noninfective gastroenteritis and colitis,Penyakit Lainnya
K55,K55 Vascular disorders of intestine,Penyakit Lainnya
K56,K56 Paralytic ileus and intestinal obstruction without hernia,Penyakit Lainnya
K57,K57 Diverticular disease of intestine,Penyakit Lainnya
K58,K58 Irritable bowel syndrome,Penyakit Lainnya
K59,K59 Other functional intestinal disorders,Penyakit Lainnya
K60,K60 Fissure and fistula of anal and rectal regions,Penyakit Lainnya
K61,K61 Abscess of anal and rectal regions,Penyakit Lainnya
K62,K62 Other diseases of anus and rectum,Penyakit Lainnya
K63,K63 Other diseases of intestine,Penyakit Lainnya
K65,K65 Peritonitis,Penyakit Lainnya
K66,K66 Other disorders of peritoneum,Penyakit Lainnya
K70,K70 Alcoholic liver disease,Penyakit Lainnya
K71,K71 Toxic liver disease,Penyakit Lainnya
K72,"K72 Hepatic failure, not elsewhere classified",Penyakit Lainnya
K73,"K73 Chronic hepatitis, not elsewhere classified",Penyakit Lainnya
K74,K74 Fibrosis and cirrhosis of liver,Katastropik
K75,K75 Other inflammatory liver diseases,Penyakit Lainnya
K76,K76 Other diseases of liver,Penyakit Lainnya
K80,K80 Cholelithiasis,Penyakit Lainnya
K81,K81 Cholecystitis,Penyakit Lainnya
K82,K82 Other diseases of gallbladder,Penyakit Lainnya
K83,K83 Other diseases of biliary tract,Penyakit Lainnya
K85,K85 Acute pancreatitis,Penyakit Lainnya
K86,K86 Other diseases of pancreas,Penyakit Lainnya
K90,K90 Intestinal malabsorption,Penyakit Lainnya
K91,"K91 Postprocedural disorders of digestive system, not elsewhere classified",Penyakit Lainnya
K92,K92 Other diseases of digestive system,Penyakit Lainnya
K93,K93 Disorders of other digestive organs in diseases classified elsewhere,Penyakit Lainnya
L00,L00 Staphylococcal scalded skin syndrome,Penyakit Lainnya
L01,L01 Impetigo,Penyakit Lainnya
L02,"L02 Cutaneous abscess, furuncle and carbuncle",Penyakit Lainnya
L03,L03 Cellulitis,Penyakit Lainnya
L04,L04 Acute lymphadenitis,Penyakit Lainnya
L05,L05 Pilonidal cyst,Penyakit Lainnya
L08,L08 Other local infections of skin and subcutaneous tissue,Penyakit Lainnya
L10,L10 Pemphigus,Penyakit Lainnya
L11,L11 Other acantholytic disorders,Penyakit Lainnya
L12,L12 Pemphigoid,Penyakit Lainnya
L13,L13 Other bullous disorders,Penyakit Lainnya
L20,L20 Atopic dermatitis,Penyakit Lainnya
L21,L21 Seborrhoeic dermatitis,Penyakit Lainnya
L22,L22 Diaper [napkin] dermatitis,Penyakit Lainnya
L23,L23 Allergic contact dermatitis,Penyakit Lainnya
L24,L24 Irritant contact dermatitis,Penyakit Lainnya
L25,L25 Unspecified contact dermatitis,Penyakit Lainnya
L26,L26 Exfoliative dermatitis,Penyakit Lainnya
L27,L27 Dermatitis due to substances taken internally,Penyakit Lainnya
L28,L28 Lichen simplex chronicus and prurigo,Penyakit Lainnya
L29,L29 Pruritus,Penyakit Lainnya
L30,L30 Other dermatitis,Penyakit Lainnya
L40,L40 Psoriasis,Penyakit Lainnya
L41,L41 Parapsoriasis,Penyakit Lainnya
L42,L42 Pityriasis rosea,Penyakit Lainnya
L43,L43 Lichen planus,Penyakit Lainnya
L44,L44 Other papulosquamous disorders,Penyakit Lainnya
L50,L50 Urticaria,Penyakit Lainnya
L51,L51 Erythema multiforme,Penyakit Lainnya
L52,L52 Erythema nodosum,Penyakit Lainnya
L53,L53 Other erythematous conditions,Penyakit Lainnya
L56,L56 Other acute skin changes due to ultraviolet radiation,Penyakit Lainnya
L57,L57 Skin changes due to chronic exposure to nonionizing radiation,Penyakit Lainnya
L58,L58 Radiodermatitis,Penyakit Lainnya
L60,L60 Nail disorders,Penyakit Lainnya
L63,L63 Alopecia areata,Penyakit Lainnya
L64,L64 Androgenic alopecia,Penyakit Lainnya
L65,L65 Other nonscarring hair loss,Penyakit Lainnya
L66,L66 Cicatricial alopecia [scarring hair loss],Penyakit Lainnya
L70,L70 Acne,Penyakit Lainnya
L72,L72 Follicular cysts of skin and subcutaneous tissue,Penyakit Lainnya
L73,L73 Other follicular disorders,Penyakit Lainnya
L74,L74 Eccrine sweat disorders,Penyakit Lainnya
L80,L80 Vitiligo,Penyakit Lainnya
L81,L81 Other disorders of pigmentation,Penyakit Lainnya
L82,L82 Seborrhoeic keratosis,Penyakit Lainnya
L84,L84 Corns and callosities,Penyakit Lainnya
L85,L85 Other epidermal thickening,Penyakit Lainnya
L88,L88 Pyoderma gangrenosum,Penyakit Lainnya
L89,L89 Decubitus ulcer and pressure area,Penyakit Lainnya
L90,L90 Atrophic disorders of skin,Penyakit Lainnya
L91,L91 Hypertrophic disorders of skin,Penyakit Lainnya
L92,L92 Granulomatous disorders of skin and subcutaneous tissue,Penyakit Lainnya
L93,L93 Lupus erythematosus,Penyakit Lainnya
L94,L94 Other localized connective tissue disorders,Penyakit Lainnya
L95,"L95 Vasculitis limited to skin, not elsewhere classified",Penyakit Lainnya
L97,"L97 Ulcer of lower limb, not elsewhere classified",Penyakit Lainnya
L98,"L98 Other disorders of skin and subcutaneous tissue, not elsewhere classified",Penyakit Lainnya
M00,M00 Pyogenic arthritis,Penyakit Lainnya
M02,M02 Reactive arthropathies,Penyakit Lainnya
M05,M05 Seropositive rheumatoid arthritis,Penyakit Lainnya
M06,M06 Other rheumatoid arthritis,Penyakit Lainnya
M08,M08 Juvenile arthritis,Penyakit Lainnya
M10,M10 Gout,Penyakit Lainnya
M11,M11 Other crystal arthropathies,Penyakit Lainnya
M12,M12 Other specific arthropathies,Penyakit Lainnya
M13,M13 Other arthritis,Penyakit Lainnya
M14,M14 Arthropathies in other diseases classified elsewhere,Penyakit Lainnya
M15,M15 Polyarthrosis,Penyakit Lainnya
M16,M16 Coxarthrosis [arthrosis of hip],Penyakit Lainnya
M17,M17 Gonarthrosis [arthrosis of knee],Penyakit Lainnya
M18,M18 Arthrosis of first carpometacarpal joint,Penyakit Lainnya
M19,M19 Other arthrosis,Penyakit Lainnya
M20,M20 Acquired deformities of fingers and toes,Penyakit Lainnya
M21,M21 Other acquired deformities of limbs,Penyakit Lainnya
M22,M22 Disorders of patella,Penyakit Lainnya
M23,M23 Internal derangement of knee,Penyakit Lainnya
M24,M24 Other specific joint derangements,Penyakit Lainnya
M25,"M25 Other joint disorders, not elsewhere classified",Penyakit Lainnya
M30,M30 Polyarteritis nodosa and related conditions,Penyakit Lainnya
M31,M31 Other necrotizing vasculopathies,Penyakit Lainnya
M32,M32 Systemic lupus erythematosus,Penyakit Lainnya
M34,M34 Systemic sclerosis,Penyakit Lainnya
M35,M35 Other systemic involvement of connective tissue,Penyakit Lainnya
M40,M40 Kyphosis and lordosis,Penyakit Lainnya
M41,M41 Scoliosis,Penyakit Lainnya
M42,M42 Spinal osteochondrosis,Penyakit Lainnya
M43,M43 Other deforming dorsopathies,Penyakit Lainnya
M45,M45 Ankylosing spondylitis,Penyakit Lainnya
M46,M46 Other inflammatory spondylopathies,Penyakit Lainnya
M47,M47 Spondylosis,Penyakit Lainnya
M48,M48 Other spondylopathies,Penyakit Lainnya
M50,M50 Cervical disc disorders,Penyakit Lainnya
M51,M51 Other intervertebral disc disorders,Penyakit Lainnya
M53,"M53 Other dorsopathies, not elsewhere classified",Penyakit Lainnya
M54,M54 Dorsalgia,Penyakit Lainnya
M60,M60 Myositis,Penyakit Lainnya
M61,M61 Calcification and ossification of muscle,Penyakit Lainnya
M62,M62 Other disorders of muscle,Penyakit Lainnya
M65,M65 Synovitis and tenosynovitis,Penyakit Lainnya
M66,M66 Spontaneous rupture of synovium and tendon,Penyakit Lainnya
M67,M67 Other disorders of synovium and tendon,Penyakit Lainnya
M70,"M70 Soft tissue disorders related to use, overuse and pressure",Penyakit Lainnya
M71,M71 Other bursopathies,Penyakit Lainnya
M72,M72 Fibroblastic disorders,Penyakit Lainnya
M75,M75 Shoulder lesions,Penyakit Lainnya
M76,"M76 Enthesopathies of lower limb, excluding foot",Penyakit Lainnya
M77,M77 Other enthesopathies,Penyakit Lainnya
M79,"M79 Other soft tissue disorders, not elsewhere classified",Penyakit Lainnya
M80,M80 Osteoporosis with pathological fracture,Penyakit Lainnya
M81,M81 Osteoporosis without pathological fracture,Penyakit Lainnya
M83,M83 Adult osteomalacia,Penyakit Lainnya
M84,M84 Disorders of continuity of bone,Penyakit Lainnya
M85,M85 Other disorders of bone density and structure,Penyakit Lainnya
M86,M86 Osteomyelitis,Penyakit Lainnya
M87,M87 Osteonecrosis,Penyakit Lainnya
M88,M88 Paget disease of bone [osteitis deformans],Penyakit Lainnya
M89,M89 Other disorders of bone,Penyakit Lainnya
M92,M92 Other juvenile osteochondrosis,Penyakit Lainnya
M93,M93 Other osteochondropathies,Penyakit Lainnya
M94,M94 Other disorders of cartilage,Penyakit Lainnya
M95,M95 Other acquired deformities of musculoskeletal system and connective tissue,Penyakit Lainnya
M96,"M96 Postprocedural musculoskeletal disorders, not elsewhere classified",Penyakit Lainnya
M99,"M99 Biomechanical lesions, not elsewhere classified",Penyakit Lainnya
N00,N00 Acute nephritic syndrome,Penyakit Lainnya
N01,N01 Rapidly progressive nephritic syndrome,Penyakit Lainnya
N02,N02 Recurrent and persistent haematuria,Penyakit Lainnya
N03,N03 Chronic nephritic syndrome,Penyakit Lainnya
N04,N04 Nephrotic syndrome,Penyakit Lainnya
N05,N05 Unspecified nephritic syndrome,Penyakit Lainnya
N06,N06 Isolated proteinuria with specified morphological lesion,Penyakit Lainnya
N10,N10 Acute tubulo-interstitial nephritis,Penyakit Lainnya
N11,N11 Chronic tubulo-interstitial nephritis,Penyakit Lainnya
N12,"N12 Tubulo-interstitial nephritis, not specified as acute or chronic",Penyakit Lainnya
N13,N13 Obstructive and reflux uropathy,Penyakit Lainnya
N14,N14 Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,Penyakit Lainnya
N15,N15 Other renal tubulo-interstitial diseases,Penyakit Lainnya
N17,N17 Acute renal failure,Katastropik
N18,N18 Chronic kidney disease,Katastropik
N19,N19 Unspecified kidney failure,Katastropik
N20,N20 Calculus of kidney and ureter,Penyakit Lainnya
N21,N21 Calculus of lower urinary tract,Penyakit Lainnya
N23,N23 Unspecified renal colic,Penyakit Lainnya
N25,N25 Disorders resulting from impaired renal tubular function,Penyakit Lainnya
N26,N26 Unspecified contracted kidney,Penyakit Lainnya
N27,N27 Small kidney of unknown cause,Penyakit Lainnya
N28,"N28 Other disorders of kidney and ureter, not elsewhere classified",Penyakit Lainnya
N30,N30 Cystitis,Penyakit Lainnya
N31,"N31 Neuromuscular dysfunction of bladder, not elsewhere classified",Penyakit Lainnya
N32,N32 Other disorders of bladder,Penyakit Lainnya
N34,N34 Urethritis and urethral syndrome,Penyakit Lainnya
N35,N35 Urethral stricture,Penyakit Lainnya
N36,N36 Other disorders of urethra,Penyakit Lainnya
N39,N39 Other disorders of urinary system,Penyakit Lainnya
N40,N40 Hyperplasia of prostate,Penyakit Lainnya
N41,N41 Inflammatory diseases of prostate,Penyakit Lainnya
N42,N42 Other disorders of prostate,Penyakit Lainnya
N43,N43 Hydrocele and spermatocele,Penyakit Lainnya
N44,N44 Torsion of testis,Penyakit Lainnya
N45,N45 Orchitis and epididymitis,Penyakit Lainnya
N46,N46 Male infertility,Penyakit Lainnya
N47,"N47 Redundant prepuce, phimosis and paraphimosis",Penyakit Lainnya
N48,N48 Other disorders of penis,Penyakit Lainnya
N49,"N49 Inflammatory disorders of male genital organs, not elsewhere classified",Penyakit Lainnya
N50,N50 Other disorders of male genital organs,Penyakit Lainnya
N60,N60 Benign mammary dysplasia,Penyakit Lainnya
N61,N61 Inflammatory disorders of breast,Penyakit Lainnya
N62,N62 Hypertrophy of breast,Penyakit Lainnya
N63,N63 Unspecified lump in breast,Penyakit Lainnya
N64,N64 Other disorders of breast,Penyakit Lainnya
N70,N70 Salpingitis and oophoritis,Penyakit Lainnya
N71,"N71 Inflammatory disease of uterus, except cervix",Penyakit Lainnya
N72,N72 Inflammatory disease of cervix uteri,Penyakit Lainnya
N73,N73 Other female pelvic inflammatory diseases,Penyakit Lainnya
N75,N75 Diseases of Bartholin gland,Penyakit Lainnya
N76,N76 Other inflammation of vagina and vulva,Penyakit Lainnya
N80,N80 Endometriosis,Penyakit Lainnya
N81,N81 Female genital prolapse,Penyakit Lainnya
N82,N82 Fistulae involving female genital tract,Penyakit Lainnya
N83,"N83 Noninflammatory disorders of ovary, fallopian tube and broad ligament",Penyakit Lainnya
N84,N84 Polyp of female genital tract,Penyakit Lainnya
N85,"N85 Other noninflammatory disorders of uterus, except cervix",Penyakit Lainnya
N86,N86 Erosion and ectropion of cervix uteri,Penyakit Lainnya
N87,N87 Dysplasia of cervix uteri,Penyakit Lainnya
N88,N88 Other noninflammatory disorders of cervix uteri,Penyakit Lainnya
N89,N89 Other noninflammatory disorders of vagina,Penyakit Lainnya
N90,N90 Other noninflammatory disorders of vulva and perineum,Penyakit Lainnya
N91,"N91 Absent, scanty and rare menstruation",Penyakit Lainnya
N92,"N92 Excessive, frequent and irregular menstruation",Penyakit Lainnya
N93,N93 Other abnormal uterine and vaginal bleeding,Penyakit Lainnya
N94,N94 Pain and other conditions associated with female genital organs and menstrual cycle,Penyakit Lainnya
N95,N95 Menopausal and other perimenopausal disorders,Penyakit Lainnya
N96,N96 Habitual aborter,Penyakit Lainnya
N97,N97 Female infertility,Penyakit Lainnya
N98,N98 Complications associated with artificial fertilization,Penyakit Lainnya
N99,"N99 Postprocedural disorders of genitourinary system, not elsewhere classified",Penyakit Lainnya
O00,O00 Ectopic pregnancy,Penyakit Lainnya
O01,O01 Hydatidiform mole,Penyakit Lainnya
O02,O02 Other abnormal products of conception,Penyakit Lainnya
O03,O03 Spontaneous abortion,Penyakit Lainnya
O04,O04 Medical abortion,Penyakit Lainnya
O05,O05 Other abortion,Penyakit Lainnya
O06,O06 Unspecified abortion,Penyakit Lainnya
O07,O07 Failed attempted abortion,Penyakit Lainnya
O08,O08 Complications following abortion and ectopic and molar pregnancy,Penyakit Lainnya
O10,"O10 Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",Penyakit Lainnya
O11,O11 Pre-eclampsia superimposed on chronic hypertension,Penyakit Lainnya
O12,O12 Gestational [pregnancy-induced] oedema and proteinuria without hypertension,Penyakit Lainnya
O13,O13 Gestational [pregnancy-induced] hypertension,Penyakit Lainnya
O14,O14 Pre-eclampsia,Penyakit Lainnya
O15,O15 Eclampsia,Penyakit Lainnya
O16,O16 Unspecified maternal hypertension,Penyakit Lainnya
O20,O20 Haemorrhage in early pregnancy,Penyakit Lainnya
O21,O21 Excessive vomiting in pregnancy,Penyakit Lainnya
O22,O22 Venous complications and haemorrhoids in pregnancy,Penyakit Lainnya
O23,O23 Infections of genitourinary tract in pregnancy,Penyakit Lainnya
O24,O24 Diabetes mellitus in pregnancy,Penyakit Lainnya
O25,O25 Malnutrition in pregnancy,Penyakit Lainnya
O26,O26 Maternal care for other conditions predominantly related to pregnancy,Penyakit Lainnya
O28,O28 Abnormal findings on antenatal screening of mother,Penyakit Lainnya
O29,O29 Complications of anaesthesia during pregnancy,Penyakit Lainnya
O30,O30 Multiple gestation,Penyakit Lainnya
O31,O31 Complications specific to multiple gestation,Penyakit Lainnya
O32,O32 Maternal care for known or suspected malpresentation of fetus,Penyakit Lainnya
O33,O33 Maternal care for known or suspected disproportion,Penyakit Lainnya
